vendor_name,Category,Location,Price Tier,Price (LKR),Rating (out of 5),Experience (Years),Weddings Completed,Response Time (Hours),Verified,Number of Packages,Social Media Followers,Repeat Client Rate,Recommended
Artisan Cards Lanka,Wedding Invitations,Colombo,Mid-Range,36000,3.8,8,120,3.0,Yes,2,37492,0.35,Yes
Suwandha Catering,Catering,Colombo,Premium,1051800,5.0,13,182,5.4,Yes,6,100000,0.6,Yes
Sithara Bridal Studio,Attire & Beauty,Colombo,Mid-Range,92500,4.0,12,300,13.1,No,3,12616,0.44,Yes
Luxury Rides Lanka,Wedding Cars,Colombo,Mid-Range,59300,4.7,17,221,1.8,Yes,2,28867,0.45,Yes
Paper & Petals Lanka,Wedding Invitations,Kurunegala,Mid-Range,33300,3.8,7,63,11.2,No,4,18873,0.32,No
Bloom & Blossom Decor,Decorators,Colombo,Mid-Range,175700,3.9,4,44,5.5,No,4,10421,0.41,No
Moments by Kasun,Photographers,Gampaha,Premium,277700,4.7,3,72,5.2,Yes,6,16535,0.46,Yes
Rhythm Lanka Band,Entertainment,Jaffna,Budget,45800,3.9,12,240,9.0,No,3,7192,0.38,Yes
Rasa Catering,Catering,Gampaha,Premium,998100,4.3,8,160,5.5,Yes,5,29547,0.41,No
Royal Motor Weddings,Wedding Cars,Kegalle,Mid-Range,57200,2.7,9,189,10.9,Yes,4,22568,0.17,Yes
Classic Ceylon Cars,Wedding Cars,Colombo,Budget,12000,3.3,7,133,14.0,No,3,5163,0.19,No
Ink & Ivory Invitations,Wedding Invitations,Colombo,Premium,84600,4.6,13,104,4.6,Yes,6,8361,0.55,Yes
Chitra Stationery Studio,Wedding Invitations,Badulla,Mid-Range,33600,3.9,10,140,24.5,Yes,2,11076,0.3,Yes
Ayomi Bridal Boutique,Attire & Beauty,Jaffna,Budget,18500,3.6,13,250,11.0,Yes,1,2895,0.25,Yes
Sweet Creations Lanka,Wedding Cakes,Trincomalee,Budget,12700,3.5,13,169,33.9,No,3,4125,0.3,No
Flavours of Ceylon,Catering,Jaffna,Premium,866200,3.7,4,72,0.6,Yes,3,5516,0.31,Yes
Silk & Grace Atelier,Attire & Beauty,Colombo,Budget,35600,3.9,2,40,13.8,Yes,2,3424,0.31,No
Nuwan Photography,Photographers,Negombo,Mid-Range,92700,3.6,12,120,5.9,Yes,2,25863,0.26,Yes
Lotus Flower Decorators,Decorators,Colombo,Mid-Range,96900,3.6,17,340,20.7,Yes,3,33927,0.32,Yes
Ornate Invites Lanka,Wedding Invitations,Galle,Budget,5200,3.7,4,48,34.5,No,1,6185,0.4,No
