iter	Logloss
0	0.651692071
1	0.6151847416
2	0.5810031854
3	0.5510450787
4	0.5252132498
5	0.5020618832
6	0.4815025464
7	0.4632314175
8	0.446497815
9	0.4328322415
10	0.4205735838
11	0.4091491175
12	0.3996283607
13	0.3903709357
14	0.3825527849
15	0.375829119
16	0.3698501712
17	0.3643760905
18	0.3595538383
19	0.3549907378
20	0.3506729815
21	0.3471901792
22	0.3439193489
23	0.3410469611
24	0.3382364987
25	0.3359112239
26	0.333839093
27	0.3317667639
28	0.3300614537
29	0.328472326
30	0.326991541
31	0.3256723331
32	0.324445676
33	0.3234774225
34	0.3225985514
35	0.321774171
36	0.3210397744
37	0.3202813447
38	0.3195742923
39	0.3190030877
40	0.3184317632
41	0.3178969724
42	0.3173962577
43	0.3170065062
44	0.3166343952
45	0.3162437927
46	0.3159277063
47	0.315611965
48	0.3153039938
49	0.3150765922
50	0.3148658661
51	0.3146302356
52	0.3143617412
53	0.3141451067
54	0.3138876188
55	0.3137079483
56	0.3135238074
57	0.313360025
58	0.3131944793
59	0.3130319905
60	0.3128336796
61	0.312637521
62	0.3125125291
63	0.3124032663
64	0.3122327626
65	0.3120761139
66	0.3119318456
67	0.311823847
68	0.3116707013
69	0.3115596281
70	0.3114535114
71	0.3112883411
72	0.311171446
73	0.3111068227
74	0.3109573162
75	0.3108742918
76	0.3108163539
77	0.310760972
78	0.3106176086
79	0.3105482888
80	0.3104056493
81	0.3102729564
82	0.3101853449
83	0.3100817811
84	0.3099718257
85	0.3098851197
86	0.3098068788
87	0.3097349465
88	0.3096781212
89	0.3095709546
90	0.3094566217
91	0.3093831171
92	0.3092705146
93	0.3091400741
94	0.3091178494
95	0.3090693668
96	0.308978295
97	0.3088861673
98	0.3087937188
99	0.3087508995
100	0.3086330172
101	0.3085330792
102	0.3083861908
103	0.3082314092
104	0.3081207835
105	0.3079820538
106	0.3078588763
107	0.3077094436
108	0.3076060864
109	0.3075281002
110	0.3074426473
111	0.3073141642
112	0.3072213782
113	0.3070962141
114	0.3070183733
115	0.306938043
116	0.3068620682
117	0.306794059
118	0.3066885637
119	0.3065918653
120	0.3065300507
121	0.3064092709
122	0.3063722722
123	0.3062426086
124	0.3061620587
125	0.3060719648
126	0.3059551523
127	0.3058872487
128	0.305746365
129	0.305639946
130	0.3055526158
131	0.3055172232
132	0.3054429552
133	0.3053324767
134	0.3052967691
135	0.3052635459
136	0.3051026681
137	0.3050485172
138	0.304946832
139	0.3048646814
140	0.3047664707
141	0.3047143554
142	0.3046505721
143	0.3045181298
144	0.3044633221
145	0.3043756213
146	0.3042961315
147	0.3041781338
148	0.3040586145
149	0.303924412
150	0.3038417019
151	0.3037960507
152	0.3037389162
153	0.3036258912
154	0.3035401923
155	0.3034538852
156	0.3033646653
157	0.3032171984
158	0.3031967443
159	0.3030912825
160	0.3030260599
161	0.3029733645
162	0.3028016813
163	0.3027454356
164	0.3026416553
165	0.3025515913
166	0.3024447579
167	0.3023789348
168	0.3023477071
169	0.3022284405
170	0.3021333251
171	0.3020499862
172	0.3019959664
173	0.3019128687
174	0.301865597
175	0.3018042153
176	0.301739967
177	0.3016084153
178	0.3014480738
179	0.3013430526
180	0.3012435064
181	0.3011835287
182	0.3010876537
183	0.300995136
184	0.3009109298
185	0.3008049654
186	0.3007123781
187	0.3006536001
188	0.3005952393
189	0.300492222
190	0.3004419778
191	0.3003967661
192	0.3003361742
193	0.3002311232
194	0.3001523602
195	0.3000466448
196	0.299970991
197	0.2999453623
198	0.2998566199
199	0.2997526335
