iter	Passed	Remaining
0	148	29489
1	151	15027
2	155	10202
3	160	7846
4	165	6449
5	169	5488
6	173	4782
7	176	4242
8	181	3841
9	184	3511
10	188	3230
11	191	2996
12	194	2800
13	198	2642
14	202	2496
15	206	2373
16	209	2259
17	213	2161
18	217	2071
19	220	1986
20	223	1908
21	227	1840
22	230	1776
23	234	1716
24	237	1660
25	240	1608
26	244	1567
27	248	1526
28	251	1483
29	254	1442
30	257	1403
31	261	1373
32	265	1343
33	268	1311
34	271	1279
35	274	1249
36	277	1224
37	282	1202
38	285	1178
39	288	1155
40	293	1137
41	296	1116
42	299	1093
43	302	1073
44	305	1053
45	309	1037
46	313	1020
47	316	1003
48	319	985
49	323	971
50	327	957
51	330	941
52	333	926
53	336	910
54	341	899
55	345	887
56	347	872
57	350	858
58	354	847
59	358	836
60	361	823
61	364	811
62	367	798
63	370	788
64	374	777
65	377	766
66	380	755
67	384	745
68	387	736
69	391	726
70	394	716
71	397	706
72	400	696
73	404	688
74	408	680
75	411	671
76	414	662
77	418	655
78	422	647
79	426	639
80	429	630
81	432	622
82	436	615
83	440	607
84	443	600
85	446	591
86	450	584
87	454	578
88	458	571
89	461	563
90	464	556
91	468	549
92	471	542
93	474	535
94	477	528
95	481	521
96	485	515
97	488	508
98	491	501
99	494	494
100	498	488
101	503	483
102	506	477
103	511	471
104	516	467
105	520	461
106	523	455
107	527	449
108	532	444
109	536	439
110	541	433
111	546	429
112	551	424
113	555	419
114	559	413
115	564	408
116	568	403
117	571	397
118	575	391
119	580	386
120	584	381
121	588	376
122	592	370
123	596	365
124	600	360
125	604	354
126	608	349
127	612	344
128	616	339
129	620	334
130	624	328
131	628	323
132	632	318
133	636	313
134	640	308
135	644	303
136	648	298
137	651	292
138	655	287
139	659	282
140	663	277
141	667	272
142	670	267
143	674	262
144	680	258
145	683	252
146	687	248
147	693	243
148	697	238
149	700	233
150	706	229
151	711	224
152	715	219
153	720	215
154	725	210
155	728	205
156	732	200
157	737	195
158	741	191
159	745	186
160	748	181
161	752	176
162	757	171
163	760	166
164	764	162
165	768	157
166	772	152
167	776	147
168	780	143
169	784	138
170	788	133
171	791	128
172	795	124
173	798	119
174	806	115
175	810	110
176	815	105
177	820	101
178	824	96
179	829	92
180	834	87
181	837	82
182	841	78
183	845	73
184	851	69
185	856	64
186	860	59
187	865	55
188	870	50
189	873	45
190	877	41
191	881	36
192	886	32
193	890	27
194	893	22
195	897	18
196	902	13
197	905	9
198	908	4
199	913	0
